file,pass,score,violations
docs/archive/prompt-versions/v1.md,False,0,"original keyword used: if | missing alias for return: use this token exactly for keyword mapping | original keyword used: return | missing alias for for: follow renamed symbol exactly and continue | missing alias for in: strictly follow this alias phrase for compilation | original keyword used: in | python parse failed after normalization: expected '(' (<unknown>, line 2)"
docs/archive/prompt-versions/v2.md,False,0,"missing alias for def: no, use exact python original grammer | original keyword used: def | missing alias for if: do not trust default python keyword prior | python parse failed after normalization: invalid syntax (<unknown>, line 1)"
docs/archive/prompt-versions/v3.md,False,80,"original keyword used: for | missing loop: for i in range(7): print(i, fib(i))"
docs/archive/prompt-versions/v4.md,False,0,"missing alias for def: use this custom marker in place of original token | original keyword used: if | missing alias for return: use this token exactly for keyword mapping | original keyword used: return | python parse failed after normalization: invalid syntax (<unknown>, line 1)"
docs/archive/prompt-versions/v5.md,False,0,"missing alias for def: if | python parse failed after normalization: cannot assign to function call (<unknown>, line 1)"
docs/archive/prompt-versions/v6.md,False,0,"missing alias for in: use this token exactly for keyword mapping | original keyword used: in | python parse failed after normalization: invalid syntax (<unknown>, line 1)"
docs/archive/prompt-versions/v7.md,False,0,"missing alias for if: for | original keyword used: in | python parse failed after normalization: invalid syntax (<unknown>, line 2)"
docs/archive/prompt-versions/v8.md,False,0,"missing alias for def: convert this phrase back to python reserved token | original keyword used: def | original keyword used: return | missing alias for in: use this custom marker in place of original token | original keyword used: in | python parse failed after normalization: invalid syntax (<unknown>, line 1)"
docs/archive/prompt-versions/v9.md,False,0,"original keyword used: return | missing alias for for: use this token exactly for keyword mapping | original keyword used: for | python parse failed after normalization: invalid syntax (<unknown>, line 2)"
docs/archive/prompt-versions/v10.md,False,0,"missing alias for def: do not trust default python keyword prior | original keyword used: if | python parse failed after normalization: expected ':' (<unknown>, line 4)"
docs/archive/prompt-versions/v11.md,False,0,"original keyword used: def | missing alias for return: apply this mapped token before generating code | original keyword used: return | missing alias for in: strictly follow this alias phrase for compilation | original keyword used: in | python parse failed after normalization: invalid syntax (<unknown>, line 1)"
docs/archive/prompt-versions/v12.md,False,0,"missing alias for def: no, use exact python original grammer | missing alias for if: convert this phrase back to python reserved token | original keyword used: if | original keyword used: in | python parse failed after normalization: invalid syntax (<unknown>, line 1)"
docs/archive/prompt-versions/v13.md,False,0,"missing alias for if: convert this phrase back to python reserved token | original keyword used: if | missing alias for in: use this custom marker in place of original token | original keyword used: in | python parse failed after normalization: invalid syntax (<unknown>, line 2)"
docs/archive/prompt-versions/v14.md,False,0,"missing alias for def: use this custom marker in place of original token | missing alias for for: strictly follow this alias phrase for compilation | original keyword used: for | missing alias for in: follow renamed symbol exactly and continue | original keyword used: in | python parse failed after normalization: invalid syntax (<unknown>, line 1)"
docs/archive/prompt-versions/v15.md,False,0,"missing alias for def: no, use exact python original grammer | original keyword used: def | missing alias for if: go | original keyword used: if | missing alias for return: keep this long alias while preserving python grammar | original keyword used: return | missing alias for for: strictly follow this alias phrase for compilation | original keyword used: for | missing alias for in: follow renamed symbol exactly and continue | original keyword used: in"
docs/archive/prompt-versions/v16.md,False,0,"missing alias for if: use this token exactly for keyword mapping | missing alias for return: keep this long alias while preserving python grammar | original keyword used: return | missing alias for for: keep this long alias while preserving python grammar | original keyword used: for | python parse failed after normalization: invalid syntax (<unknown>, line 2)"
docs/archive/prompt-versions/v17.md,False,0,"missing alias for if: return | missing alias for return: no, use exact python original grammer | missing alias for in: convert this phrase back to python reserved token | original keyword used: in | python parse failed after normalization: invalid syntax (<unknown>, line 2)"
docs/archive/prompt-versions/v18.md,False,0,"missing alias for def: follow renamed symbol exactly and continue | original keyword used: def | missing alias for if: follow renamed symbol exactly and continue | original keyword used: if | missing alias for for: convert this phrase back to python reserved token | original keyword used: for | original keyword used: in | python parse failed after normalization: invalid syntax (<unknown>, line 1)"
docs/archive/prompt-versions/v19.md,False,0,"original keyword used: def | original keyword used: if | missing alias for return: apply this mapped token before generating code | original keyword used: return | missing alias for for: qn | original keyword used: for | missing alias for in: use this custom marker in place of original token | original keyword used: in | python parse failed after normalization: expected '(' (<unknown>, line 7)"
docs/archive/prompt-versions/v20.md,False,0,"missing alias for def: if | missing alias for if: do not trust default python keyword prior | original keyword used: return | missing alias for for: keep this long alias while preserving python grammar | missing alias for in: use this token exactly for keyword mapping | original keyword used: in | python parse failed after normalization: invalid syntax (<unknown>, line 1)"
docs/archive/prompt-versions/v21.md,False,0,"missing alias for return: keep this long alias while preserving python grammar | original keyword used: return | missing alias for in: use this custom marker in place of original token | python parse failed after normalization: invalid syntax (<unknown>, line 3)"
docs/archive/prompt-versions/v22.md,False,0,"missing alias for return: use this token exactly for keyword mapping | original keyword used: return | missing alias for for: keep this long alias while preserving python grammar | original keyword used: for | python parse failed after normalization: expected '(' (<unknown>, line 6)"
